userid,pagetype,member_tier,log_in_status,page_duration,start_time
b0,Product,NULL,N,60,11/1/2019 12:06
d3,Product,NULL,N,50,11/1/2019 12:06
d3,Product,NULL,N,60,11/1/2019 12:06
d3,Other,NULL,N,60,11/1/2019 12:06
1b,Product,NULL,N,1547.666667,11/1/2019 12:07
d3,Homepage,NULL,N,180,11/1/2019 12:07
d3,Product,NULL,N,60,11/1/2019 12:07
ac,Homepage,Base,Y,45,11/1/2019 12:11
bf,Other,NULL,N,96,11/1/2019 12:12
d9,Product,NULL,N,30,11/1/2019 12:12
d1,Category,NULL,N,60,11/1/2019 12:13
d1,Other,NULL,N,60,11/1/2019 12:13
d1,Other,NULL,N,60,11/1/2019 12:13
0e,Other,NULL,N,40,11/1/2019 12:16
cd,Other,NULL,N,17.14285714,11/1/2019 12:16
9e,Homepage,NULL,N,15,11/1/2019 12:19
d6,Product,NULL,N,60,11/1/2019 12:19
34,Homepage,NULL,N,70,11/1/2019 12:22
82,Homepage,NULL,N,60,11/1/2019 12:23
ca,Product,NULL,N,60,11/1/2019 12:23
ca,Other,NULL,N,1080,11/1/2019 12:23
54,Other,NULL,N,180,11/1/2019 12:29
54,Category,NULL,N,15,11/1/2019 12:30
